愛,ダーク
明るい,怒り
安心,悲しみ
安定,不安
輝く,絶望
感謝,孤独
希望,恐怖
喜び,疲れ
効率的,退屈
幸福,憂鬱
幸せ,ストレス
元気,混乱
健康,失望
素晴らしい,嫉妬
積極的,憎しみ
成功,苦痛
誠実,焦り
前向き,後悔
美しい,罪悪感
面白い,不快
楽しい,嫌悪
力強い,辛い
柔軟,惨め
自信,イライラ
優しい,落胆
愉快,病気
感動,やる気がない
成長,虚無
進化,拒絶
前進,孤立
安らぎ,無力感
充実,不満
安全,不信
平和,邪魔
達成,悪化
愛情,誤解
創造,衰弱
発展,痛み
信頼,醜い
希少,無関心
新鮮,悪意
賢い,嫌い
有能,邪悪
勇気,怒鳴る
誇り,泣く
率直,悩む
穏やか,苦悩
快適,緊張
誠意,悲劇
満足,絶体絶命
豊か,パニック
活気,逃げたい
繁栄,拒否
気楽,いじめ
笑顔,責める
柔らかい,困る
高潔,しんどい
熱意,見捨てる
心地よい,冷たい
軽やか,暗い
スムーズ,陰湿
素直,壊れる
謙虚,絶縁
正直,裏切り
調和,消えたい
成熟,つらい
芸術的,病む
創意,罵倒
インスピレーション,暴力
直感的,冷笑
美的,被害
洗練,心配
クール,怒気
シンプル,無視
きれい,愚か
輝かしい,不潔
魅力的,後ろめたい
優秀,迷う
堂々,反抗
親切,病的
魅了,無表情
知的,沈黙
温かい,悲惨
安堵,離れる
調子いい,疑う
活発,重い
柔和,異常
理想的,不運
期待,嘘
驚き,負け
光栄,絶句
感激,不調
興奮,うんざり
大好き,退く
大切,悪夢
感性,反感
華やか,未熟
ピュア,過ち
目標,沈む
やる気,諦め
モチベーション,混沌
頼もしい,恨み
パワフル,ホラー
心強い,欺瞞
光,虚偽
運命,矛盾
覚悟,裏目
思いやり,不仲
忍耐,腐敗
冒険,暴言
包容力,逃避
無邪気,停滞
愛らしい,疑念
成し遂げる,悪習
仲間,雑音
絆,憤怒
友情,嘲笑
貢献,恐慌
協力,支離滅裂
共感,執着
合理的,粘着
真剣,陰口
安らか,破壊
高揚,病弱
奇跡,侮辱
礼儀,疲弊
礼節,沈下
明朗,退却
大胆,反発
適応力,拒絶反応
柔軟性,やけくそ
独創的,悪事
思慮深い,犯罪
有望,懲役
清々しい,反社会
爽快,歪み
清潔,精神崩壊
真面目,暗黒
活躍,狂気
覚醒,狂乱
魅惑,妄想
祝福,依存
成果,錯乱
素敵,自己否定
親しみ,自己嫌悪
和やか,過干渉
情熱,神経質
安定感,引きこもり
一体感,鬱屈
信念,不機嫌
主体性,反感情的
優位,面倒
先進的,厄介
成り立つ,無意味
喜ばしい,不完全
伸びやか,無理解
革新的,中途半端
勇敢,不快指数
快活,失言
快挙,不誠実
慈愛,疑心
貴重,絶縁状態
清廉,別離
率先,噂話
堅実,中傷
慎重,無神経
着実,低評価
理解力,劣等感
温厚,いら立ち
着眼点,ネガティブ
面倒見,疲れ果てる
自立,人間不信
克服,陰謀
人望,攻撃的
合理性,否定的
柔軟力,不健全
決断力,封鎖
責任感,疲労
行動力,危機
創造性,欠如
実行力,支配
判断力,押し付け
分析力,操作
包括的,蔑視
忠実,叱責
貫禄,無価値
先見性,嫌悪感
洞察力,不信感
展望,反省不足
可能性,冷淡
積み重ね,鈍感
しなやか,卑劣
利他的,腐る
希望的,独善的
奉仕,根暗
気配り,厭世
情緒的,自己中心
芯が強い,独占欲
軽快,被害妄想
感受性,暴走
協調,問題行動
気前がいい,意地悪
誠心,傲慢
精神的,排除
慈しみ,敵意
ユーモア,妬み
ポジティブ,悪評
ヘルシー,陰険
ナチュラル,逃亡
フレッシュ,落ちぶれ
エネルギッシュ,見下し
アクティブ,暴露
スマート,非難
ラッキー,心の闇
セーフ,停電
トク,危険
スペシャル,毒舌
プレミアム,行き詰まり
ハッピー,息苦しい
チャンス,自滅
ドリーム,汚染
サクセス,廃墟
ファン,暴利
ラブ,悪循環
キュート,封印
スイート,禁断
フォーチュン,凍結
ピース,軟弱
グッド,無知
ベスト,自暴自棄
ナイス,粘着質
エレガント,敗北
ハンサム,恐怖心
プロフェッショナル,取り乱す
タレント,押し殺す
リーダー,罰
メリット,荒れる
ビューティー,薄情
ゴールド,震え
ブライト,迷信
ジーニアス,やましさ
ワンダフル,不快音
グレート,絶たれる
フレンドリー,
サプライズ,
シンパシー,
ハートフル,
スタイル,
センス,
シナジー,
パッション,
バランス,
エッセンス,
セレクト,
シュア,
トライ,
トップ,
トラスト,
サポート,
コラボ,
シェア,
スペース,
クリーン,
リラックス,
カーム,
プレイ,
シフト,
アップ,
リフト,
リセット,
チャレンジ,
ブレイク,
ブースト,
スピード,
ジョイ,
スキル,
ストレングス,
フォーカス,
スピリット,
ハーモニー,
フォーム,
モデル,
フィット,
セレブ,
ブレイン,
リーチ,
キャッチ,
フォロー,
スマイル,
サニー,
シャイン,
ブリリアント,
インパクト,
